"title","writer","page","price"
"하이퍼레저 블록체인 개발","니틴 가워 , 뤼크 데로지에르 , 벤카트라만 라마크리슈나 , 페트르 노보트니 , 살만 바셋 , 앤서니 오다우드 ",448,30600
"PHP & MySQL 닌자 비법서","톰 버틀러 Tom Butler , 케빈 양크 Kevin Yank ",604,31500
"좋은 선택, 나쁜 선택","최희탁 ",172,13320
"텐서플로를 활용한 머신러닝","니샨트 수클라 ",312,27000
"이것이 Fedora 리눅스다","우재남 ",816,27000
"(20일 완성) 나도 일러스트레이터 할 수 있다","박혜진(삐딱대가리) ",280,14400
"스파크 완벽 가이드","빌 체임버스 Bill Chambers , 마테이 자하리아 Mate Zaharia ",796,43200
"오토캐드 트레이닝 북","강석창 ",580,26100
"기계는 어떻게 생각하고 학습하는가","뉴 사이언티스트 , 닉 보스트롬 , 넬로 크리스티아니니 , 존 그레이엄-커밍 , 피터 노빅 , 앤더스 샌드버그 , 토비 월시 ",336,15300
"인공지능 마케팅","짐 스턴 (Jim Sterne) ",448,19800
"이론과 실전으로 배우는 게임 시나리오","이진희 ",268,24300
"비됴클래스 하줜의 유튜브 동영상 편집 with 프리미어 프로","하지원 ",316,17820
"Accelerated C++","앤드루 쾨니히(Andrew Koenig) , 바버라 E. 무 ",508,27000
"IT 트렌드 스페셜 리포트 2019","김석기, 김승열, 박재호, 김진영,  금동우 ",372,16020
"한 권으로 끝내는 딥러닝 텐서플로","바라스 람순다르 Bharath Ramsundar , 레자 자데 Reza Bosagh Zadeh ",264,21600
"파이썬으로 배우는 머신러닝의 교과서","이토 마코토 ",408,26100
"좋은 사진을 만드는 ZAKO의 여행 사진 잘 찍는 법","ZAKO ",336,19800
"맥 쓰는 사람들의 macOS 모하비","고래돌이 ",508,19800
"처음 시작하는 R 데이터 분석","강전희 , 엄동란 ",328,17820
"데이터 과학을 위한 통계","피터 브루스 , 앤드루 브루스 ",328,28800
"오준석의 안드로이드 생존코딩(코틀린 편)","오준석 ",452,28800
"처음 배우는 스프링 부트 2","김영재 ",336,19800
"RxJS 프로그래밍: 75가지 핵심 문법과 예제로 익히는 RxJS 기초","이종욱 , 안재하 ",568,28800
"스프링 5 레시피(4판)","마틴 데니엄(Marten Deinum) , 다니엘 루비오(Daniel Rubio) , 조시 롱(Josh Long) ",1056,54000
"자바를 활용한 딥러닝","조시 패터슨(Josh Patterson) , 애덤 깁슨(Adam Gibson) ",560,34200
"회사에서 바로 통하는 엑셀 실무 강의","전미진 ",496,18900
"모던 스타트업","이기곤 ",300,18000
"파이썬 웹 프로그래밍(개정판)","김석훈 ",368,19800
"맛있는 디자인 포토샵&인디자인 CC 2018","박효근 , 윤이사라(포완카) , 황지완 ",536,21600
"엔트리, 피지컬 컴퓨팅을 만나다","최현종 , 이상열 , 이현아 ",308,16200
"피, 땀, 픽셀 : 트리플 A 게임은 어떻게 만들어지는가","제이슨 슈라이어 ",400,16200
